track_id,title,artist,total_artist_pop,total_track_pop,era
1252270,Beautiful Mistakes,Maroon 5,2266.132971528,63.1473846,10
1252331,Wants And Needs,Drake,5690.765479112,41.331138363,10
1233797,pov,Ariana Grande,2249.722915071,11.729178879000001,10
1268455,Having Our Way,Drake,5690.765479112,5.087488131,10
1252289,What's Next,Drake,5690.765479112,42.329302555,10
1263694,Seeing Green,Nicki Minaj,2667.072226268,12.095380733999999,10
1263694,Seeing Green,Drake,5690.765479112,12.095380733999999,10
1259197,Solid,Drake,5690.765479112,7.206127028999999,10
1252502,Hold On,Justin Bieber,3475.959119127,7.263803555,10
1233520,34+35,Ariana Grande,2249.722915071,135.52551075099998,10
1232249,Positions,Ariana Grande,2249.722915071,176.469400109,10
1231834,You're Mines Still,Drake,5690.765479112,40.835150615,10
1240694,Willow,Taylor Swift,2205.850832711,35.473147964,10
1243968,Anyone,Justin Bieber,3475.959119127,32.178489838000004,10
1257596,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,2205.850832711,1.8045514530000002,10
1249137,Love Story (Taylor's Version),Taylor Swift,2205.850832711,6.187375249,10
1252405,Lemon Pepper Freestyle,Drake,5690.765479112,10.961694394999999,10
1226287,Holy,Justin Bieber,3475.959119127,147.345116387,10
1231164,Lonely,Justin Bieber,3475.959119127,57.109659816,10
1218072,Laugh Now Cry Later,Drake,5690.765479112,186.071570244,10
1242821,Afterglow,Ed Sheeran,1808.760918294,7.259794653,10
1237278,Monster,Justin Bieber,3475.959119127,11.093623705999999,10
1229137,Mr. Right Now,Drake,5690.765479112,11.237382821,10
1215930,Hawai,The Weeknd,2492.237448241,13.289280495,10
869529,Santa Tell Me,Ariana Grande,2249.722915071,7.852102337,10
1240811,Champagne Problems,Taylor Swift,2205.850832711,3.2847626240000003,10
1240815,"No Body, No Crime",Taylor Swift,2205.850832711,1.350126131,10
1213581,Popstar,Drake,5690.765479112,53.284218089,10
1235315,What That Speed Bout!?,Nicki Minaj,2667.072226268,1.252332576,10
1233789,Motive,Ariana Grande,2249.722915071,1.5681154499999999,10
1233791,Off The Table,Ariana Grande,2249.722915071,2.504680704,10
1233791,Off The Table,The Weeknd,2492.237448241,2.504680704,10
1161124,Circles,Post Malone,2275.584454085,423.792608295,10
1219235,Whole Lotta Choppas,Nicki Minaj,2667.072226268,1.252736637,10
1213583,Greece,Drake,5690.765479112,7.961152662,10
1214725,Cardigan,Taylor Swift,2205.850832711,24.037967935,10
1217347,Smile,The Weeknd,2492.237448241,8.652529839,10
1204175,Rain On Me,Ariana Grande,2249.722915071,63.664990806,10
1184744,Life Is Good,Drake,5690.765479112,202.378886795,10
1222795,Over Now,The Weeknd,2492.237448241,1.003528217,10
1214703,Nobody's Love,Maroon 5,2266.132971528,3.694382407,10
1188297,Intentions,Justin Bieber,3475.959119127,162.24955505,10
1201951,Stuck With U,Ariana Grande,2249.722915071,68.416374558,10
1201951,Stuck With U,Justin Bieber,3475.959119127,68.416374558,10
1214914,The 1,Taylor Swift,2205.850832711,11.866082924999999,10
1214962,Exile,Taylor Swift,2205.850832711,9.002976342,10
1196689,Toosie Slide,Drake,5690.765479112,99.10858962500001,10
1215888,Move Ya Hips,Nicki Minaj,2667.072226268,3.707398464,10
1215022,The Last Great American Dynasty,Taylor Swift,2205.850832711,5.329841043,10
1215033,My Tears Ricochet,Taylor Swift,2205.850832711,4.470607557,10
1214973,August,Taylor Swift,2205.850832711,2.9043847360000004,10
1215006,Invisible String,Taylor Swift,2205.850832711,1.0747904000000001,10
1215025,Mirrorball,Taylor Swift,2205.850832711,2.373079643,10
1215026,Seven,Taylor Swift,2205.850832711,1.2523328189999998,10
1192549,Chicago Freestyle,Drake,5690.765479112,6.4834743790000005,10
1207963,Trollz,Nicki Minaj,2667.072226268,11.581359682,10
1164769,Memories,Maroon 5,2266.132971528,219.627288481,10
1195582,Believe It,Rihanna,3112.877175243,3.4905053720000003,10
1194598,In Your Eyes,The Weeknd,2492.237448241,9.24486353,10
1201385,Pain 1993,Drake,5690.765479112,7.652299599,10
1201139,D4L,Drake,5690.765479112,3.7153610560000003,10
1189415,Desires,Drake,5690.765479112,2.2200552,10
1201766,Time Flies,Drake,5690.765479112,1.804246158,10
1201138,Demons,Drake,5690.765479112,1.350125139,10
1201170,Not You Too,Drake,5690.765479112,2.535525376,10
1201765,Deep Pockets,Drake,5690.765479112,1.564031349,10
1192537,When To Say When,Drake,5690.765479112,1.252332576,10
1179013,Heartless,The Weeknd,2492.237448241,92.882223139,10
1167225,"10,000 Hours",Justin Bieber,3475.959119127,152.394656672,10
1146746,No Guidance,Drake,5690.765479112,228.67887566,10
1174550,Tusa,Nicki Minaj,2667.072226268,3.12066268,10
1159990,The Man,Taylor Swift,2205.850832711,2.991588755,10
1184062,Yummy,Justin Bieber,3475.959119127,44.74288524,10
1190279,After Hours,The Weeknd,2492.237448241,6.726886351,10
1195191,Alone Again,The Weeknd,2492.237448241,3.2768,10
1194824,Scared To Live,The Weeknd,2492.237448241,2.706784157,10
1195195,Hardest To Love,The Weeknd,2492.237448241,2.535525376,10
1195193,Too Late,The Weeknd,2492.237448241,2.073071593,10
1195197,Snowchild,The Weeknd,2492.237448241,1.564031349,10
1136271,I Don't Care,Ed Sheeran,1808.760918294,391.624151138,10
1136271,I Don't Care,Justin Bieber,3475.959119127,391.624151138,10
1189537,Forever,Justin Bieber,3475.959119127,5.442266128,10
1189537,Forever,Post Malone,2275.584454085,5.442266128,10
1152909,South Of The Border,Ed Sheeran,1808.760918294,1.948476541,10
1188381,Yikes,Nicki Minaj,2667.072226268,2.8903743680000002,10
1185693,Those Kinda Nights,Ed Sheeran,1808.760918294,1.681459375,10
1162429,Take What You Want,Post Malone,2275.584454085,17.19443491,10
1158870,Lover,Taylor Swift,2205.850832711,35.870477716,10
1150605,Beautiful People,Ed Sheeran,1808.760918294,84.487995518,10
1162423,Enemies,Post Malone,2275.584454085,8.708147097000001,10
1151777,Goodbyes,Post Malone,2275.584454085,116.511565947,10
1157661,Hot Girl Summer,Nicki Minaj,2667.072226268,31.119523557999997,10
1148351,Money In The Grave,Drake,5690.765479112,96.831402182,10
1147999,You Need To Calm Down,Taylor Swift,2205.850832711,81.857147394,10
1163520,Don't Call Me Angel (Charlie's Angels),Ariana Grande,2249.722915071,5.599276036,10
1104291,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone,2275.584454085,359.2093758,10
1115143,Wow.,Post Malone,2275.584454085,242.487151847,10
1156503,Boyfriend,Ariana Grande,2249.722915071,32.183261829,10
1162540,Saint-Tropez,Post Malone,2275.584454085,5.860442015,10
1162539,Hollywood's Bleeding,Post Malone,2275.584454085,6.657326176,10
1162426,Die For Me,Post Malone,2275.584454085,4.33650084,10
1162425,On The Road,Post Malone,2275.584454085,3.575024884,10
1162544,A Thousand Bad Times,Post Malone,2275.584454085,2.051145126,10
1162542,Staring At The Sun,Post Malone,2275.584454085,1.378754258,10
1162545,I'm Gonna Be,Post Malone,2275.584454085,1.478233568,10
1162543,Allergic,Post Malone,2275.584454085,1.0801781670000001,10
1117603,7 Rings,Ariana Grande,2249.722915071,197.551466983,10
1133682,ME!,Taylor Swift,2205.850832711,63.342776769,10
1160056,Cruel Summer,Taylor Swift,2205.850832711,1.959217632,10
1160564,I Forgot That You Existed,Taylor Swift,2205.850832711,2.0874205,10
1154798,The Archer,Taylor Swift,2205.850832711,1.0311446069999999,10
1144803,Never Really Over,Katy Perry,1984.773885672,21.145962725,10
1111602,Going Bad,Drake,5690.765479112,124.589038836,10
1155466,Gold Roses,Drake,5690.765479112,1.064034432,10
1152942,Antisocial,Ed Sheeran,1808.760918294,1.170773659,10
1139762,Cross Me,Ed Sheeran,1808.760918294,8.150260545,10
1149353,MEGATRON,Nicki Minaj,2667.072226268,3.486903524,10
1118635,Con Calma,Katy Perry,1984.773885672,24.350054055,10
1091190,Girls Need Love,Drake,5690.765479112,2.0879299479999998,10
1122077,Please Me,Bruno Mars,3067.263908985,86.459591994,10
1121011,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2249.722915071,82.031227173,10
1148353,Omerta,Drake,5690.765479112,1.252332608,10
1053367,Girls Like You,Maroon 5,2266.132971528,345.533111153,10
1106809,"Thank U, Next",Ariana Grande,2249.722915071,179.90047008599998,10
1076007,Better Now,Post Malone,2275.584454085,253.932723856,10
1102713,MIA,Drake,5690.765479112,79.271041727,10
1097439,Wake Up In The Sky,Bruno Mars,3067.263908985,78.37801199399999,10
1121071,Needy,Ariana Grande,2249.722915071,5.51831995,10
1121073,NASA,Ariana Grande,2249.722915071,4.724539192,10
1113720,Imagine,Ariana Grande,2249.722915071,6.252386744,10
1121082,Bad Idea,Ariana Grande,2249.722915071,2.425130651,10
1121079,Bloodline,Ariana Grande,2249.722915071,3.331893135,10
1121077,Fake Smile,Ariana Grande,2249.722915071,2.537963099,10
1116754,Lost In The Fire,The Weeknd,2492.237448241,5.017476966,10
1121072,Ghostin,Ariana Grande,2249.722915071,2.625749575,10
1121075,In My Head,Ariana Grande,2249.722915071,1.00678545,10
1093268,Breathin,Ariana Grande,2249.722915071,63.671269483,10
1098754,No Stylist,Drake,5690.765479112,1.084563131,10
1088288,God Is A Woman,Ariana Grande,2249.722915071,70.72152520899999,10
1089511,FEFE,Nicki Minaj,2667.072226268,106.29761081699999,10
1086234,In My Feelings,Drake,5690.765479112,156.572575731,10
1078826,Yes Indeed,Drake,5690.765479112,106.56810783,10
1086310,Nonstop,Drake,5690.765479112,74.655041092,10
1101527,Never Recover,Drake,5690.765479112,6.5445242949999995,10
1067429,Psycho,Post Malone,2275.584454085,220.174600703,10
1080667,Big Bank,Nicki Minaj,2667.072226268,39.818912921,10
1079587,Jackie Chan,Post Malone,2275.584454085,2.10312017,10
1053426,Delicate,Taylor Swift,2205.850832711,69.680523735,10
1090208,No Brainer,Justin Bieber,3475.959119127,54.317225492999995,10
1074480,No Tears Left To Cry,Ariana Grande,2249.722915071,133.171409465,10
1100346,Dark Side Of The Moon,Nicki Minaj,2667.072226268,2.373046875,10
1016822,Perfect,Ed Sheeran,1808.760918294,317.734480598,10
1072670,Nice For What,Drake,5690.765479112,179.571896635,10
1063267,God's Plan,Drake,5690.765479112,259.540905897,10
1092341,Barbie Dreams,Nicki Minaj,2667.072226268,6.305721281,10
1094394,IDOL,Nicki Minaj,2667.072226268,5.908159049,10
1080820,I'm Upset,Drake,5690.765479112,30.559279908,10
1086305,Mob Ties,Drake,5690.765479112,8.330920069,10
1084081,Bed,Nicki Minaj,2667.072226268,4.814610468,10
1084081,Bed,Ariana Grande,2249.722915071,4.814610468,10
1073491,Chun-Li,Nicki Minaj,2667.072226268,18.309680049,10
1065841,Look Alive,Drake,5690.765479112,131.401066822,10
1086221,Don't Matter To Me,Drake,5690.765479112,11.603415682,10
